EstablecimientoGlosa;RegionGlosa;TipoEstablecimientoGlosa;DependenciaAdministrativa;NivelAtencionEstabglosa;ComunaGlosa;FechaInicioFuncionamientoEstab;TieneServicioUrgencia;TipoUrgencia;Latitud;Longitud;TipoSistemaSaludGlosa;EstadoFuncionamiento;NivelComplejidadEstabGlosa;TipoAtencionEstabGlosa
Hospital Comunitario Cristina Calderón de Puerto Williams;Región De Magallanes Y De La Antártica Chilena;Hospital;Servicio de Salud;Primario;Cabo de Hornos;;SI;Urgencia Hospitalaria (UEH);-54.93521;-67.60039;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Cerrada-hospitalaria
Hospital Naval (Puerto Williams);Región De Magallanes Y De La Antártica Chilena;Hospital;Fuerzas Armadas y de Orden (FFAA);Terciario;Cabo de Hornos;;SI;Urgencia Hospitalaria (UEH);-54.934374;-67.608895;Fuerzas Armadas y de Orden;Vigente en Operación Habitual;Mediana Complejidad;Atención Cerrada-hospitalaria
Posta de Salud Rural Cameron;Región De Magallanes Y De La Antártica Chilena;Posta de Salud Rural (PSR);Municipal;Primario;Timaukel;;NO;No Aplica;-53.64055;-69.64585;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Posta de Salud Rural Agua Fresca;Región De Magallanes Y De La Antártica Chilena;Posta de Salud Rural (PSR);Municipal;Primario;Punta Arenas;;NO;No Aplica;-53.40424;-70.99016;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Hospital Dr. Marco Antonio Chamorro ( Porvenir);Región De Magallanes Y De La Antártica Chilena;Hospital;Servicio de Salud;Pendiente;Porvenir;04-01-2018;SI;Urgencia Hospitalaria (UEH);-53.29816;-70.35838;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Cerrada-hospitalaria
UNO SALUD DENTAL LOS ÁNGELES 2;Región Del Bíobío;Clínica Dental;Privado;No Aplica;Los Ángeles;13-02-2023;NO;No Aplica;-37.468505;-72.340387;Privado;Vigente en Operación Habitual;Mediana Complejidad;Atención Abierta-ambulatoria
Centro Comunitario de Salud Familiar Dr. Juan Damianovic;Región De Magallanes Y De La Antártica Chilena;Centro Comunitario de Salud Familiar (CECOSF);Municipal;Primario;Punta Arenas;17-02-2017;NO;No Aplica;-53.18041;-70.95141;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
COSAM Punta Arenas;Región De Magallanes Y De La Antártica Chilena;Centro Comunitario de Salud Mental (COSAM);Municipal;Secundario;Punta Arenas;;NO;No Aplica;-53.178248;-70.922132;Público;Vigente en Operación Habitual;Mediana Complejidad;Atención Abierta-ambulatoria
SAR Dr. Juan Damianovic;Región De Magallanes Y De La Antártica Chilena;Servicio de Atención Primaria de Urgencia de Alta Resolutividad (SAR);Municipal;Primario;Punta Arenas;24-09-2021;SI;Urgencia Ambulatoria (SAR);-53.174898;-70.938015;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Centro de Salud Familiar Dr. Juan Damianovic;Región De Magallanes Y De La Antártica Chilena;Centro de Salud Familiar (CESFAM);Municipal;Primario;Punta Arenas;;NO;No Aplica;-53.17495;-70.93796;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
